player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Lucas Chevalier,PSG,FRA-Ligue 1,GK,FRA,23,10439,72.075,40.525,30.825,0.9656097327330204,3.4830922502155377,2.543347063895009,0.38796819618737427,0.03448606188332216
Lucas Perri,Torino,ITA-Serie A,GK,BRA,28-274,4500,69.73333333333333,16.366666666666667,0.0,1.4800000000000002,4.64,3.16,0.26,0.0
Luigi Sepe,Salernitana,ITA-Serie A,GK,ITA,31,1530,67.9,17.6,42.9,1.588235294117647,4.9411764705882355,3.3529411764705883,0.1764705882352941,0.1764705882352941
Luiz Lúcio Reis Júnior,Villarreal,ESP-La Liga,GK,BRA,25-239,4338,61.93333333333333,19.96666666666667,5.566666666666666,1.1618257261410787,3.7551867219917012,2.6348547717842323,0.26970954356846477,0.02074688796680498
Lukáš Hrádecký,Leverkusen,Unknown,GK,FIN,34,10258,73.46000000000001,34.4,0.0,1.2019886917527782,3.9481380386040166,2.7987911873659583,0.29830376291674787,0.0
Luís Maximiano,Lazio,ITA-Serie A,GK,POR,23,2975,31.6,4.55,10.0,1.9058823529411764,5.173109243697479,3.3882352941176466,0.0907563025210084,0.030252100840336135
Maarten Vandevoordt,RB Leipzig,Unknown,GK,BEL,24-196,1661,65.5,22.733333333333334,33.333333333333336,1.4629741119807345,4.172185430463577,2.7092113184828417,0.1625526791089705,0.054184226369656835
Mads Hermansen,West Ham,ENG-Premier League,GK,DEN,25,4005,64.85,21.3,12.5,1.9325842696629212,5.438202247191011,3.48314606741573,0.1797752808988764,0.02247191011235955
Maduka Okoye,Udinese,ITA-Serie A,GK,NGA,27-013,7026,68.95,17.075,4.175,1.3706233988044405,4.316823228010247,2.946199829205807,0.23057216054654142,0.012809564474807857
Manuel Neuer,Bayern Munich,Unknown,GK,GER,40-167,7152,69.46000000000001,40.06,6.659999999999999,1.0067114093959733,2.9949664429530203,1.975671140939597,0.39010067114093966,0.012583892617449664
Manuel Riemann,Bochum,Unknown,GK,GER,34,6030,62.05,13.399999999999999,22.75,2.1194029850746268,5.582089552238806,3.611940298507463,0.13432835820895522,0.0746268656716418
Marc-André ter Stegen,Girona,ESP-La Liga,GK,GER,33,6721,70.825,30.950000000000003,0.0,0.7498884094628775,3.1066805534890642,2.3567921440261865,0.5222437137330754,0.0
Marcel Schuhen,Darmstadt 98,Unknown,GK,GER,30,2790,61.8,9.7,50.0,2.4516129032258065,6.419354838709677,3.9677419354838706,0.0967741935483871,0.03225806451612903
Marcin Bułka,Nice,FRA-Ligue 1,GK,POL,24,6300,70.33333333333333,24.5,23.599999999999998,1.0285714285714285,3.757142857142857,2.8285714285714287,0.3571428571428571,0.05714285714285714
Marco Bizot,Brest,FRA-Ligue 1,GK,NED,33,9761,62.04,24.119999999999997,13.319999999999999,1.438377215449237,4.361233480176212,2.9228562647269745,0.2858313697367073,0.036881467062800946
Marco Carnesecchi,Atalanta,ITA-Serie A,GK,ITA,26-071,11515,75.36,30.2,16.66,1.164567954841511,4.353452019105514,3.220147633521494,0.30481980026052974,0.03126356925749023
Marco Silvestri,Cremonese,ITA-Serie A,GK,ITA,34,5760,62.975,12.45,0.0,1.46875,3.984375,2.515625,0.21875,0.0
Marco Sportiello,Atalanta,ITA-Serie A,GK,ITA,33,2185,69.125,32.15,0.0,1.4416475972540046,4.448512585812357,3.0068649885583523,0.16475972540045766,0.0
Mark Flekken,Leverkusen,Unknown,GK,NED,33-089,11929,65.16,29.9,0.0,1.5315617402967556,4.949283259284098,3.4479000754463915,0.2565177299019197,0.0
Mark Travers,Bournemouth,ENG-Premier League,GK,IRL,25,1845,68.36666666666667,21.066666666666666,0.0,2.048780487804878,5.414634146341464,3.3658536585365852,0.1951219512195122,0.0
Marko Dmitrović,Espanyol,ESP-La Liga,GK,SRB,34-229,9009,70.66,27.439999999999998,0.0,1.4585414585414587,4.775224775224775,3.376623376623377,0.27972027972027974,0.0
Martin Dúbravka,Burnley,ENG-Premier League,GK,SVK,36,6192,73.275,21.025000000000002,5.0,1.8313953488372094,5.508720930232558,3.677325581395349,0.20348837209302323,0.014534883720930232
Marvin Schwäbe,Köln,Unknown,GK,GER,31-138,9360,56.725,8.8,37.15,1.7596153846153846,4.4423076923076925,2.7211538461538463,0.11538461538461539,0.038461538461538464
Mathew Ryan,Lens,FRA-Ligue 1,GK,AUS,32,4860,72.26666666666667,39.300000000000004,52.76666666666667,1.4444444444444446,4.833333333333333,3.3888888888888893,0.3148148148148148,0.05555555555555555
