player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Kingsley Schindler,Köln,Unknown,29,GHA,"MF,DF",1088.0,36.4,0.0,1.24,0.0,0.08272058823529412,0.0,0.0,0.33088235294117646,0.0,0.9099264705882354,0.9926470588235294,0.16544117647058823,3.8051470588235294,1.0753676470588234,0.8272058823529412,0.9099264705882354,0.33088235294117646
Kirian Rodríguez,Las Palmas,ESP-La Liga,28,ESP,MF,4969.0,37.75,0.07,1.09,0.10867377742000403,0.09056148118333668,0.10867377742000403,0.0,0.18112296236667336,0.0,0.5795934795733548,0.9961762930167035,0.01811229623666734,0.7607164419400282,0.6520426645200241,0.9237271080700342,1.1591869591467097,0.41658281344334874
Klaus Gjasula,Darmstadt 98,Unknown,33,ALB,"DF,MF",1363.0,11.1,0.0,0.55,0.0,0.0,0.0,0.0,0.4622157006603081,0.06603081438004402,1.5187087307410123,0.7263389581804842,0.0,0.4622157006603081,1.1885546588407925,1.3866471019809243,0.5942773294203962,0.06603081438004402
Ko Itakura,Gladbach,Unknown,29-226,JPN,DF,6547.0,38.25,0.07,0.8400000000000001,0.08248052543149534,0.027493508477165113,0.08248052543149534,0.0,0.20620131357873833,0.027493508477165113,0.962272796700779,0.42614938139605923,0.013746754238582556,0.26118833053306856,1.085993584848022,0.9210325339850314,0.7560714831220406,0.26118833053306856
Kobbie Mainoo,Manchester Utd,ENG-Premier League,21-144,ENG,MF,5434.0,16.380000000000003,0.07,1.8079999999999998,0.06624953993375046,0.06624953993375046,0.06624953993375046,0.0,0.16562384983437617,0.0,0.9109311740890689,1.159366948840633,0.06624953993375046,0.4637467795362532,1.0434302539565696,1.2753036437246963,0.7121825542878174,0.16562384983437617
Koffi Djidji,Torino,ITA-Serie A,30,CIV,DF,3183.0,21.45,0.07,1.365,0.02827521206409048,0.0,0.02827521206409048,0.0,0.1413760603204524,0.0,1.0744580584354382,0.11310084825636192,0.02827521206409048,0.4241281809613572,1.2158341187558905,0.9613572101790764,0.2544769085768143,0.08482563619227144
Koffi Kouao,Metz,FRA-Ligue 1,27,CIV,"DF,MF",3125.0,31.75,0.045,0.7050000000000001,0.057600000000000005,0.0864,0.057600000000000005,0.0,0.3456,0.0,1.3824,1.0944,0.11520000000000001,2.16,1.1520000000000001,1.6704,0.8063999999999999,0.3168
Kojo Peprah Oppong,Nice,FRA-Ligue 1,21,GHA,DF,2425.0,30.0,0.1,1.0,0.03711340206185567,0.0,0.03711340206185567,0.0,0.14845360824742268,0.0,1.1505154639175257,1.1134020618556701,0.03711340206185567,0.18556701030927836,1.1134020618556701,1.0391752577319588,0.3711340206185567,0.111340206185567
Koke,Atlético Madrid,ESP-La Liga,34-245,ESP,MF,9376.0,18.259999999999998,0.046,2.0100000000000002,0.02879692832764505,0.09598976109215017,0.02879692832764505,0.0,0.1823805460750853,0.0,0.8063139931740614,0.8447098976109215,0.009598976109215018,1.0174914675767919,0.7199232081911262,1.3438566552901023,0.4991467576791809,0.10558873720136519
Komnen Andrić,Clermont Foot,FRA-Ligue 1,28,SRB,FW,1615.0,21.65,0.065,0.835,0.22291021671826627,0.16718266253869968,0.16718266253869968,0.05572755417956657,0.22291021671826627,0.0,1.0588235294117647,2.3962848297213624,0.44582043343653255,0.16718266253869968,0.5015479876160991,0.2786377708978328,1.8390092879256965,0.7244582043343653
